지역(1),지역(2),갯수
인천광역시,영흥,6
충청남도,태안,10
충청남도,당진,10
충청남도,보령,6
충청남도,신보령,2
충청남도,신서천,1
전라남도,여수,2
경상남도,하동,8
경상남도,삼천포,4
경상남도,고성하이,2
강원도,삼척그린파워,2
강원도,북평,2
강원도,동해,2
강원도,강릉안인,2
